class,RP,ST,WCIMD,AR,MS,DS,LD,TLC,MDLC,H1LC,CWC,DA,PA,HTTP or HTTPs,OL,IL,IMGL,Backlinks,Traffic,DSX,SMR,CT,WC,RTS,SDMS,SMU,KWURL,QWURL,KWMD,KWT
Q,97,5,28,4587,6,27,5.2,66,183,44,1195,92,72,1,119,78,5,5,45,14,814,1,21,1,4,1,1,1,0,1
R,98,5,23,125925,20,26,2.3,94,144,0,1825,73,56,1,1,1,0,4,1,11,128497,0,15,1,0,0,1,1,0,1
S,99,5,19,10254,34,26,1.4,78,131,57,2932,86,68,1,373,277,48,2,89,40,326,1,15,1,9,1,0,1,0,1
T,100,5,29,534,14,54,1.8,174,200,102,12050,93,73,1,552,431,15,52,13,14,1144,0,7,1,0,0,0,0,0,0
A,1,1,31,355,60,92,0.9,72,159,34,9,93,77,1,6,1,0,431,2,14,54,1,18,0,0,0,1,1,1,1
B,2,3,26,30730,46,89,1.7,65,146,33,4013,72,61,1,229,218,35,210,109,40,2736,1,10,1,12,1,1,0,1,0
C,3,3,22,552445,45,79,1.3,64,122,47,901,46,35,1,69,41,9,106,573,14,496011,1,2,1,6,1,0,0,0,0
D,4,3,25,1088,39,75,1.2,54,168,43,879,93,78,1,140,76,20,25,19,14,2133,1,25,1,4,1,0,1,0,1
E,5,3,29,296,35,70,2.9,71,145,4,948,92,54,1,159,139,8,0,20,14,1292,1,21,1,1,1,0,1,0,0
F,6,5,25,513074,30,70,2.9,50,152,50,2783,42,39,1,185,157,14,205,362,14,816403,1,24,1,7,1,0,1,0,0
G,7,5,24,278,29,69,3.5,40,140,40,1762,95,83,1,259,230,2,32,18,14,74,1,25,1,5,1,0,1,0,0
H,8,5,22,552445,26,68,9.8,64,122,47,901,46,35,1,69,41,9,106,573,14,496011,1,24,1,6,1,0,0,1,0
I,9,5,20,8051,25,65,2,51,140,51,1051,84,60,1,163,137,5,6,66,14,1380,1,2,1,2,1,0,1,1,0
J,10,5,23,144804,20,65,1.5,102,146,57,2905,92,45,1,2342,33,4,5,139,17,833,1,7,1,0,0,1,1,0,0
K,91,5,86,31272,17,64,2.6,149,498,87,753,84,65,1,38,24,2,0,0,14,6051,1,15,1,6,1,0,1,1,0
L,92,5,24,3040,17,92,2.1,112,131,84,1583,88,58,1,122,75,10,14,6,14,1405,1,11,1,3,1,0,0,0,1
M,93,5,25,2307363,15,53,2.1,64,148,15,1303,24,17,1,86,51,12,1,0,14,7972531,1,2,1,0,0,0,0,1,0
N,94,5,22,107647,15,51,3,46,124,36,1176,34,38,1,108,82,16,183,780,14,200488,1,21,1,7,1,0,1,1,1
O,95,5,4,2116,14,50,7.7,63,39,0,1519,92,73,1,115,80,8,82,853,14,1121,1,15,1,3,1,0,0,0,0
P,96,5,25,1540,13,89,1.7,63,161,16,2736,93,74,1,279,268,26,20,119,14,375,1,11,1,0,0,0,1,1,1
Q,97,5,24,4173,12,34,1.6,59,139,9,1318,93,53,1,97,85,3,2,27,17,1234,1,7,1,0,0,0,1,1,0
R,98,5,23,95,16,31,3.2,89,169,43,3704,95,81,1,121,113,37,56,0,14,123,1,2,1,5,1,0,0,0,0
S,99,5,26,5296,19,29,2.1,70,140,15,1419,90,58,1,163,139,4,121,0,14,1846,1,15,1,10,1,0,0,0,0
T,100,5,56,6623736,12,31,1.5,70,353,47,1386,36,32,1,1236,3,45,46,989,14,590530,1,2,1,9,1,1,0,0,0
A,1,1,29,31666,79,100,1.4,45,138,45,1498,64,57,1,247,236,6,1483,861,14,2361,1,21,1,6,1,1,0,1,1
B,2,3,30,3322191,78,95,1.6,112,165,42,717,19,28,1,82,74,8,703,5,14,123177,1,11,1,7,1,1,0,1,1
C,3,3,30,395677,74,95,1.9,67,163,32,1433,35,39,1,122,88,4,194,196,14,77821,1,14,1,7,1,1,0,1,1
D,4,3,27,353194,66,100,1,59,112,95,4094,41,39,1,304,208,2,33,644,14,121170,1,12,1,2,1,1,0,1,0
E,5,5,28,1465284,59,88,2.5,148,174,0,1120,37,42,1,0,0,0,21,177,14,224532,1,12,1,0,0,1,0,1,1
F,6,5,22,369751,51,87,1.5,60,141,39,2055,55,52,1,129,113,6,1,6553,14,33187,1,14,1,3,1,0,0,0,0
G,7,5,27,53174,48,85,2.2,59,139,46,1389,54,55,1,168,119,36,7,15,14,6488,1,2,1,5,1,1,0,1,1
H,8,5,60,13668,37,83,1.4,69,379,33,740,90,72,1,157,150,1,229,1322,24,2537,1,15,1,4,1,1,0,1,0
I,9,5,8,717,36,79,1.6,58,44,21,1553,92,74,1,183,142,5,54,84,40,22,1,10,1,1,1,1,0,1,0
J,10,5,27,657119,35,95,1.1,60,153,34,3105,46,50,1,139,100,10,31,134,14,100942,1,14,1,13,1,1,0,0,1
K,91,5,21,1083913,27,95,1.2,36,132,21,991,37,43,1,96,72,11,4,14,14,254909,1,12,1,0,0,1,0,0,0
L,92,5,24,1832028,24,67,4.1,64,130,0,877,24,31,1,1,1,0,0,0,14,584032,1,14,1,0,0,1,0,0,1
M,93,5,39,432913,24,65,4.1,71,249,56,1248,46,49,1,105,81,2,0,0,14,172405,1,15,1,15,1,1,0,0,1
N,94,5,30,0,22,65,2.7,58,165,34,1155,29,29,1,119,102,22,0,0,14,2656250,1,15,1,0,0,1,0,0,1
O,95,5,26,447336,5,53,1.5,66,156,37,2048,34,37,1,247,231,41,89,405,13,181921,1,21,1,12,1,1,0,0,0
P,96,5,26,447336,29,90,1.5,66,156,37,2048,34,37,1,247,231,41,0,0,13,181921,1,21,1,12,1,1,1,0,0
Q,97,5,26,848,22,45,2.1,93,137,58,1398,92,70,1,305,2661,41,9,20,14,1216,1,15,1,10,1,1,0,0,1
R,98,5,26,674003,35,34,5.6,90,156,69,834,50,44,1,78,59,4,207,4111,40,99067,1,6,1,2,1,0,0,1,0
S,99,5,33,193320,46,24,1.2,63,180,35,871,43,44,1,54,40,7,30,478,14,37164,1,14,1,4,1,1,1,0,1
T,100,5,25,540289,65,23,3,50,145,36,457,48,45,1,32,28,3,0,0,40,27659,1,11,1,4,1,1,0,0,1
