class,RP,ST,WCIMD,AR,MS,DS,LD,TLC,MDLC,H1LC,CWC,DA,PA,HTTP or HTTPs,OL,IL,IMGL,Backlinks,Traffic,DSX,SMR,CT,WC,RTS,SDMS,SMU,KWURL,QWURL,KWMD,KWT
N,94,5,4,99695,17,34,3.2,65,32,0,665,15,31,1,1,1,0,30,0,14,2656313,0,7,1,2,1,1,0,0,0
O,95,5,15,288583,14,48,1.6,44,81,44,4611,50,39,1,168,60,20,148,16,14,290944,1,7,1,5,1,1,1,1,0
P,96,2,36,1612005,11,72,6.6,64,252,92,3469,22,24,1,102,96,44,229,32,14,8253313,1,7,1,24,1,1,0,1,1
Q,97,5,20,21,7,87,2,52,141,0,2403,99,68,1,1,1,0,1962,200,14,49,1,7,1,0,0,1,0,1,1
R,98,2,5,2913,6,94,1.8,64,24,22,2348,92,64,1,1,1,1,28,58,17,2610,0,7,1,0,0,1,0,1,1
S,99,2,24,139852,33,64,3.8,64,162,45,2528,40,51,1,345,261,66,266,194,14,478053,1,7,1,2,1,1,0,1,1
T,100,5,26,32857,9,27,3.7,77,157,54,1923,35,41,1,178,139,15,30,7,14,666113,0,7,1,11,1,1,0,1,1
A,1,1,24,4256,72,98,0.8,54,151,54,1870,59,57,1,139,126,16,365,1020,14,10437,1,7,1,9,1,1,0,1,1
B,2,2,24,9047,72,91,0.9,56,147,67,7878,67,51,1,433,323,114,1320,13096,14,19277,1,7,1,13,1,1,0,1,1
C,3,3,26,7810,71,86,0.9,70,153,61,2205,85,66,1,364,357,2,782,775,14,4774,1,7,1,4,1,1,0,1,1
D,4,3,21,17708,68,57,1,64,148,52,3226,76,61,1,132,114,23,436,69,14,11354,1,7,1,0,0,1,0,1,1
E,5,3,43,22624,68,48,1.2,39,276,26,1456,64,58,1,1,1,26,189,2,14,18461,1,21,1,0,0,0,0,0,0
F,6,2,14,9693,67,91,1.7,37,98,37,14714,59,52,1,1199,816,321,131,3572,14,10630,1,21,1,9,1,1,0,1,1
G,7,5,18,1616175,65,88,2,67,136,35,4485,12,25,1,138,122,15,57,151,14,3141908,1,21,1,10,1,1,1,1,1
H,8,5,24,9800,48,89,2.1,55,156,66,3900,55,52,1,104,83,11,46,2035,29,34022,1,21,1,9,1,1,1,1,1
I,9,5,26,13,46,100,2.4,39,159,27,4531,98,89,1,1500,1443,11,37,73,40,1,1,28,1,3,1,1,0,1,1
J,10,2,37,1607,34,25,2.5,91,197,52,1442,74,56,1,116,38,26,28,1202,14,3192,1,21,1,4,1,1,1,1,1
K,91,5,27,365,33,98,5,58,182,41,7817,84,63,1,132,127,22,27,24,14,1029,1,21,1,0,0,1,0,1,1
L,92,5,23,64271,28,89,7.2,57,139,70,5595,56,45,1,230,211,25,25,0,35,134442,1,21,1,12,1,1,0,1,1
M,93,5,20,1126929,25,59,4.8,67,154,60,4150,30,36,1,199,172,11,7,0,26,2953455,1,21,1,8,1,1,0,1,1
N,94,5,20,55,24,80,0.7,39,112,39,2775,98,98,1,48,41,15,4,0,14,37,1,24,0,0,0,1,0,1,1
O,95,5,20,1675644,19,84,2.6,57,132,45,3423,20,28,1,133,80,15,1,187,14,1271271,1,7,1,7,1,0,0,0,0
P,96,5,32,6038,14,89,1.5,58,272,0,3567,93,65,1,0,0,0,0,116,17,2203,0,7,1,0,0,0,0,0,0
Q,97,5,22,42343,12,77,1.2,60,149,60,1718,55,49,1,71,70,17,10,935,14,29995,1,7,1,0,0,0,0,1,1
R,98,5,28,52306,10,60,1.2,43,161,33,960,52,28,1,114,102,5,12,231,14,139123,1,7,1,0,0,1,0,1,1
S,99,5,21,2857,37,76,1.1,65,136,0,2532,89,54,1,131,94,9,332,0,14,15230,1,21,1,6,1,1,0,1,1
T,100,5,24,5095675,51,85,1.5,49,151,0,4731,47,35,0,1,1,0,8,1,40,4592264,0,21,1,0,0,0,0,0,1
A,1,1,24,4256,78,97,0.9,54,151,54,1870,59,57,1,139,126,16,366,1020,14,10437,1,21,1,9,1,1,0,1,1
B,2,5,26,13,76,100,0.9,39,159,27,4531,98,89,1,1500,1443,11,1320,73,40,1,1,28,1,3,1,1,0,1,1
C,3,2,24,9047,68,40,0.9,56,147,67,7878,67,51,1,433,323,114,782,13096,14,19277,1,21,1,13,1,1,0,1,1
D,4,5,14,9693,68,93,0.9,37,98,37,14714,59,52,1,1199,816,321,302,3572,14,10630,1,21,1,9,1,1,0,1,1
E,5,3,26,1607,65,22,1.3,108,147,65,3870,74,56,1,139,38,36,189,929,14,3192,1,21,1,4,1,1,0,1,1
F,6,3,24,9800,57,88,1.6,55,156,66,3900,55,52,1,104,83,11,131,2035,40,34022,1,21,1,9,1,1,1,1,1
G,7,3,21,17708,51,49,1.6,64,148,52,3226,76,61,1,132,114,23,57,69,14,11354,1,2,1,0,0,1,0,1,1
H,8,5,18,1616175,49,24,1.6,67,136,35,4485,12,25,1,138,122,15,37,151,14,3141908,1,21,1,10,1,1,1,1,1
I,9,5,26,1607,45,22,2,108,147,65,3870,74,56,1,139,38,36,7,1202,14,3192,1,21,1,4,1,1,0,1,1
J,10,5,37,1607,39,25,2.1,91,197,52,1442,74,56,1,116,38,26,38,3711,14,3192,1,21,1,4,1,1,1,1,1
K,91,5,34,1172,37,73,2.2,45,287,32,1478,52,55,1,172,154,13,1,0,14,4178,1,21,1,0,0,1,0,1,1
L,92,5,8,3928,36,94,7.2,16,63,27,517,93,62,1,65,59,9,0,0,1,3813,0,9,1,7,1,0,0,1,1
M,93,5,16,51708,25,44,4,78,98,58,3063,68,56,1,104,84,2,160,6,14,27650,0,21,1,0,0,1,1,1,1
N,94,5,27,1571,19,55,2.1,58,162,0,5895,93,66,1,0,0,0,0,1,17,365,0,7,1,0,0,0,0,0,1
O,95,5,26,2740,17,68,1.8,64,164,0,7059,87,66,1,1,1,0,2,23,14,5969,0,21,1,0,0,0,0,0,0
P,96,5,23,382,13,86,1.5,58,137,58,2151,71,48,1,57,52,14,122,83,14,5357,0,7,1,8,1,1,0,1,1
Q,97,5,23,6934,12,79,2.3,43,146,0,8223,66,58,1,0,0,0,60,134,14,1378,0,3,1,0,0,1,0,0,1
R,98,5,16,481,100,100,0.9,41,83,41,623,93,77,0,43,34,1,5,57,17,537,0,7,1,0,0,0,0,0,1
S,99,5,37,33248,7,82,2.4,93,248,58,1094,53,45,1,111,100,11,10,1,14,107943,1,21,1,8,1,1,0,1,1
T,100,5,26,8540,7,94,2.6,133,149,120,7876,85,64,1,281,225,26,60,13,40,11777,0,21,0,6,1,0,0,0,0
A,1,1,33,1607,100,76,0.6,118,169,29,140,74,56,1,48,7,6,1426,583,14,3192,1,21,1,5,1,0,0,0,0
B,2,3,24,13,100,100,0.9,30,167,18,914,98,89,1,196,0,4,63,1105,40,1,1,28,1,3,1,0,0,1,0
C,3,3,25,276,100,82,0.9,55,169,18,4728,93,77,1,89,61,6,20,170,14,178,1,21,0,0,0,0,0,0,0
D,4,3,26,276,100,78,1,55,168,18,2848,93,77,1,88,61,5,18,257,14,178,1,21,0,0,0,0,0,0,0
E,5,3,30,494,98,94,1,65,192,50,1333,92,73,1,101,44,2,12,0,14,941,1,21,1,3,1,0,0,0,0
F,6,2,24,13,88,100,1,30,167,18,914,98,89,1,196,0,4,5,255,40,1,1,28,1,3,1,0,0,1,0
G,7,5,28,1562,86,74,1,38,209,18,1375,83,68,1,149,142,16,0,123,14,2306,1,21,1,0,0,0,0,0,0
H,8,5,25,9693,68,92,1.2,66,153,66,5768,59,52,1,241,171,46,0,20,14,10630,1,21,1,9,1,1,0,0,1
I,9,5,22,156,51,49,1.6,68,127,68,3177,93,74,1,224,207,3,60,2914,35,675,1,21,1,7,1,0,1,0,0
J,10,5,24,43104,100,100,2.2,38,136,18,494,46,43,1,77,77,39,0,0,40,44916,0,21,1,4,1,1,0,1,0
K,91,5,11,14460,50,86,2.9,63,62,46,889,3,6,1,101,34,14,1,1,14,15124108,0,21,1,1,1,0,0,0,0
L,92,5,23,0,44,50,2,68,160,63,1737,84,64,1,119,103,10,8,5,14,15371,1,21,1,5,1,0,0,0,0
M,93,5,21,13478,41,67,3,96,144,83,5409,69,56,1,71,67,5,4,0,14,20234,1,21,1,6,1,0,0,0,0
N,94,5,30,0,40,67,5.6,49,160,0,9387,13,20,1,1,0,0,0,0,35,14012072,0,21,1,0,0,1,0,1,1
O,95,5,1,0,98,100,0.6,0,0,0,10551,14,17,0,0,0,0,0,0,30,3589858,0,21,1,0,0,0,0,0,0
P,96,5,1,0,100,100,0.7,0,0,0,11715,14,17,0,0,0,0,0,0,30,5651949,0,21,1,0,0,0,0,0,0
Q,97,5,1,0,100,100,0.6,0,0,0,12879,16,17,0,0,0,0,2,0,30,1181613,0,21,1,0,0,0,0,0,0
R,98,5,1,2858748,14,61,5.1,0,0,0,138,17,22,0,0,0,0,0,0,14,655251,0,21,1,0,0,0,1,0,0
S,99,5,57,3629815,100,100,0.5,25,26,25,4202,6,5,1,0,0,0,0,0,30,5993311,0,21,1,0,0,0,0,0,0
T,100,5,11,3184078,58,92,1.1,74,77,0,4,14,9,0,1,1,0,3,0,14,2209877,0,21,1,0,0,1,0,0,0
A,1,1,25,52505,96,95,0.9,40,153,0,2253,61,55,1,1,1,0,1,20,14,5605,1,14,1,0,0,1,0,1,1
B,2,5,21,2101,95,76,1.2,65,131,50,2245,91,71,1,220,168,19,426,8696,14,4409,1,2,1,4,1,1,1,1,1
C,3,5,23,2173027,92,99,1.3,69,120,41,642,30,32,1,115,85,11,378,191,14,626578,1,14,1,0,0,1,1,1,1
D,4,5,23,83668,68,96,1.4,58,152,58,2458,63,54,1,162,153,3,50,64,14,83605,0,2,1,4,1,1,1,1,1
E,5,5,25,3579149,64,80,1.6,81,146,46,1413,26,35,1,82,70,4,30,196,14,985436,1,14,1,8,1,1,1,1,1
F,6,2,42,619,63,46,1.6,60,292,10,1391,93,75,1,141,123,3,23,6346,14,34,1,21,1,2,1,1,0,1,1
G,7,5,25,73582,47,58,2.3,59,155,59,2144,51,48,1,282,262,19,23,1463,14,87917,1,21,1,6,1,1,0,1,1
H,8,5,35,222913,36,95,3.2,70,197,57,1209,55,52,1,82,74,3,23,0,14,255750,1,21,1,6,1,1,1,1,1
I,9,5,31,1854,33,58,4.8,42,199,42,1209,60,57,1,296,287,7,18,431,14,2021,1,2,1,6,1,1,1,1,1
J,10,5,22,176981,29,97,5.1,55,141,19,1922,51,32,1,133,100,3,13,87,40,147692,1,21,1,4,1,1,1,1,1
K,91,5,21,114357,28,87,1.8,42,142,42,944,75,54,1,117,103,0,11,0,14,53124,1,21,1,9,1,1,0,0,1
L,92,5,22,444732,25,40,2.6,93,138,81,19825,65,53,1,246,113,2,11,21,40,90189,0,7,1,0,0,1,0,0,1
M,93,5,22,869,18,64,2.2,95,149,55,3747,82,62,1,652,633,42,7,21,14,336,1,7,1,1,1,1,1,1,1
N,94,5,21,45247,17,100,5.1,20,137,10,3908,77,39,1,339,268,5,0,0,15,99915,0,19,1,0,0,1,0,1,1
O,95,5,57,53505,16,68,2.1,52,376,24,1781,60,49,1,121,91,4,61,194,17,24193,0,7,1,1,1,1,1,1,1
P,96,5,52,28495,15,92,2.9,41,315,32,187,70,59,1,52,40,8,203,171,40,57768,1,19,1,0,0,1,0,1,1
Q,97,5,17,2048,11,97,1,60,137,0,0,93,73,1,0,1,0,3,0,40,4780,0,16,1,0,0,0,0,1,1
R,98,5,24,45810,9,75,1.3,69,153,52,1006,75,58,1,106,82,23,140,2,14,39716,1,19,1,0,0,1,0,1,1
S,99,5,16,305236,8,40,6.1,37,102,37,1553,67,56,1,345,327,28,45,42,14,174325,1,15,1,9,1,1,1,1,1
T,100,5,8,4042,35,76,1.5,22,43,13,2999,91,73,1,578,560,12,2816,1122,24,511,1,15,1,6,1,0,0,1,0
A,1,1,13,87,95,90,1.5,52,97,41,883,95,79,1,125,85,13,1278,1,14,84,1,15,1,3,1,0,0,1,1
B,2,5,29,355,88,76,1,91,167,0,9,93,77,1,6,1,0,335,0,14,54,1,18,0,0,0,1,0,1,1
C,3,5,30,1415,83,61,1.1,82,155,62,2381,88,50,1,565,550,156,87,21,14,285,1,9,1,3,1,1,1,1,0
D,4,3,26,1581275,80,59,1.1,47,154,36,6928,33,35,1,403,256,103,62,82,13,2505818,1,2,1,8,1,0,1,0,0
E,5,3,31,355,55,47,1.1,68,164,0,9,93,77,1,6,1,0,30,0,14,54,1,18,0,0,0,0,1,0,0
F,6,3,37,9262,52,90,2.1,61,198,61,1356,69,56,1,149,109,24,19,3670,14,4437,1,7,1,11,1,0,1,0,0
G,7,3,25,355,47,58,2.2,69,154,0,9,93,77,1,6,1,0,12,0,14,54,1,18,0,0,0,0,1,0,0
H,8,5,25,342950,45,100,2.3,40,145,0,594,31,36,0,22,22,10,10,391,24,1392356,0,15,1,0,0,0,0,0,1
I,9,5,26,4995865,42,80,2.6,63,166,50,688,12,16,0,171,165,13,8,0,41,9037559,1,21,1,0,0,0,0,1,0
J,10,5,24,6,41,96,2.8,10,150,8,144,96,100,1,66,52,1,7,10,14,5,1,24,0,0,0,1,0,0,1
K,91,5,24,3371,31,88,5,76,149,20,1132,93,77,1,78,60,8,4,263,24,574,1,14,1,0,0,1,0,0,1
L,92,5,12,61623,31,73,5.7,26,56,0,653,70,59,1,106,82,7,2,3,24,168693,0,21,1,0,0,1,1,0,0
M,93,5,23,83668,30,97,1,58,152,58,2458,63,54,1,162,153,3,0,64,14,83605,0,21,1,4,1,1,1,1,1
N,94,5,57,3842277,29,52,3.8,76,320,0,10556,40,33,1,90,66,11,0,34,40,749238,1,21,1,0,0,1,0,1,1
O,95,5,28,9739,28,90,1.2,46,148,34,12617,60,52,1,165,161,7,0,210,14,15139,1,21,1,0,0,0,1,0,0
P,96,5,18,196730,25,84,2.5,49,115,0,90,72,59,1,5,5,0,0,4563,24,144882,0,15,1,0,0,0,0,0,0
Q,97,5,25,223761,21,80,2.5,56,141,44,29146,24,40,1,150,95,25,32,123,14,384819,1,21,1,0,0,1,0,1,1
R,98,5,23,1108,15,46,3.3,68,166,56,248113,91,69,1,513,397,54,78,54,14,3296,1,21,1,0,0,0,0,1,0
S,99,5,21,1055201,6,85,2.3,29,165,0,3510,26,30,0,104,89,11,10,1733,24,549609,0,15,1,0,0,1,0,1,1
T,100,5,26,7350,15,59,2,69,165,46,43327,75,62,1,136,100,15,51,13,14,13514,1,21,1,0,0,1,0,1,1
A,1,1,49,494,82,88,0.8,51,325,0,2577,92,73,1,0,0,0,5,0,14,941,1,21,1,0,0,0,0,1,1
B,2,5,1,156,60,86,0.9,42,218,36,62785,93,74,1,220,207,4,0,0,35,675,1,21,1,5,0,1,1,1,0
C,3,5,1,1528,59,85,1.6,0,0,0,0,71,58,1,1,1,0,0,0,1,7808,0,21,1,0,0,0,0,1,0
D,4,5,1,129,59,56,2,71,0,0,382,95,72,1,1,1,0,0,0,14,38,0,21,1,0,0,0,0,1,0
E,5,5,48,17755,53,47,2.4,45,302,36,1213,76,45,1,126,95,0,0,0,24,49605,1,15,1,0,0,0,0,1,1
F,6,3,25,10470,49,84,3.5,36,164,0,356,69,40,1,51,44,2,0,0,17,12375,0,7,1,0,0,0,0,1,1
G,7,3,21,228699,49,66,3.7,52,148,0,5,49,50,1,0,0,0,147,357,14,49530,0,21,1,0,0,1,0,1,1
H,8,3,9,25551,48,64,3.7,68,49,16,7344,80,65,1,2021,2015,2,2,177,40,13083,0,15,1,0,0,1,0,0,1
I,9,3,28,3629815,41,77,3.9,83,163,56,1082,33,36,1,56,45,2,2,0,8,1330271,1,15,1,5,1,1,0,1,1
J,10,5,22,138325,36,85,7.8,65,140,36,422,64,48,0,75,62,7,2,0,1,455931,0,9,1,0,0,0,0,1,1
K,91,5,11,1108,35,41,3.3,75,69,63,2764,91,69,1,536,422,54,24,0,14,3296,1,15,1,12,1,1,0,0,1
L,92,5,24,1784,20,38,1.5,31,158,0,4,83,70,1,1,1,0,8,2,14,7885,0,9,1,0,0,1,0,0,0
M,93,5,49,4278,17,96,1.6,71,310,0,1796,93,75,1,263,253,7,23,0,14,1651,1,9,1,0,0,0,0,1,1
N,94,5,21,83086,15,82,2.1,52,147,0,1611,67,51,1,91,82,4,18,0,35,119723,1,9,1,10,1,1,1,1,1
O,95,5,14,3491,15,61,2.6,53,122,53,4407,82,70,1,277,267,11,180,28,14,4201,1,9,1,6,1,1,0,1,1
P,96,5,6,90134,14,61,3.3,49,49,0,863,42,42,1,0,0,0,10,12,24,312897,0,15,1,0,0,0,0,0,0
Q,97,5,14,3911766,11,60,9.8,71,71,71,455,31,30,1,108,93,28,1,0,14,4462963,1,21,1,0,0,1,1,1,1
R,98,5,22,763634,8,92,2.1,54,135,48,2046,62,47,1,145,107,11,3,0,14,349366,1,21,1,0,0,1,1,0,1
S,99,5,1,83574,40,70,2.2,60,0,0,23,60,38,1,0,0,0,1,0,17,26740,0,7,1,0,0,0,0,0,0
T,100,5,22,316095,88,99,1.2,61,122,61,5489,35,36,1,127,79,7,29,0,14,266730,1,21,1,6,1,1,0,1,1
A,1,1,23,1694,84,92,0.9,51,146,46,4067,92,73,1,560,499,88,473,670,14,3860,1,21,1,7,1,1,0,1,1
B,2,5,29,342950,81,92,0.9,40,161,0,383,31,36,0,30,30,14,3310,12985,24,1392356,0,15,1,0,0,0,0,0,1
C,3,5,21,2101,77,73,0.9,65,131,50,2245,91,71,1,220,168,19,1272,8696,14,4409,1,21,1,4,1,1,1,1,1
D,4,5,35,466,74,64,0.9,57,257,51,1899,91,64,1,180,121,10,378,1124,14,2417,1,21,1,0,0,1,1,1,1
E,5,5,28,166077,66,99,1,28,167,0,2586,43,49,0,142,136,34,291,1469,24,496818,0,19,1,0,0,0,0,1,0
F,6,5,19,1164642,48,91,1.6,128,125,13,981,39,43,0,84,83,13,288,69,14,737911,0,21,1,1,1,1,0,1,1
G,7,5,27,13,47,100,1.6,22,156,10,8824,98,89,1,1259,1049,8,268,6613,40,1,1,28,1,3,1,1,0,1,1
H,8,5,1,9872,46,96,1.8,17,164,11,1432,91,73,1,176,155,6,147,22802,24,1225,1,15,1,2,1,1,0,1,0
I,9,5,28,2713,40,32,1.9,52,213,10,3441,90,62,1,185,118,5,122,1155,14,804,1,21,1,5,1,1,0,1,1
J,10,5,25,143431,33,76,1.9,39,158,20,846,71,59,1,129,1012,0,84,947,40,87785,1,21,1,4,1,1,0,1,1
K,91,5,25,64058,32,68,2,41,147,22,1204,82,61,1,174,16111,0,51,6,40,32445,1,21,1,6,1,1,0,0,1
L,92,5,29,4854753,30,81,2.3,43,160,0,3789,27,28,0,71,626,0,43,21,40,1358963,0,21,1,0,0,1,0,1,1
M,93,5,21,228699,29,37,2.3,52,147,0,5,49,50,1,0,0,0,8,357,14,49530,0,21,1,0,0,1,0,1,1
N,94,5,20,329815,23,88,2.5,64,133,0,278,62,50,1,109,880,0,6,90,40,314414,1,9,1,0,0,1,0,1,1
O,95,5,20,1252631,23,73,2.6,36,119,30,1002,32,34,1,89,746,0,2,1,14,994358,1,21,1,5,1,1,1,1,1
P,96,5,23,70116,22,89,3.2,55,159,10,1331,72,62,1,186,1818,0,2,0,1,88955,0,21,1,3,1,1,0,1,1
Q,97,5,20,252890,14,74,3.3,30,107,0,2092,46,30,1,1,10,0,1,4,37,65605,1,21,1,0,0,0,0,0,1
R,98,5,73,8817,12,78,4.5,60,449,60,1024,83,55,1,124,929,0,7,7,14,19216,1,21,1,5,1,1,1,1,1
S,99,5,23,97758,91,98,4.7,88,152,67,15857,60,49,1,332,2791,0,0,2,14,10393,0,9,1,2,1,0,0,0,1
T,100,5,23,66835,11,44,4.7,74,151,55,6404,57,48,1,333,251,62,9,0,20,204796,1,21,1,15,1,1,0,1,1
A,1,5,27,39879,96,95,1.1,45,151,45,2571,60,46,1,128,116,6,635,67,14,328888,1,21,1,4,1,1,1,1,1
B,2,1,26,39007,96,95,1.2,36,161,0,4179,65,57,1,1,1,0,362,45,27,73881,0,9,1,0,0,0,0,1,1
C,3,3,26,379049,87,88,1.5,37,162,31,1032,46,36,1,201,196,2,54,18,40,675023,0,15,1,0,0,1,0,1,1
D,4,3,23,6915570,85,51,1.7,29,113,15,3558,21,26,0,419,108,55,41,18,14,9279811,1,14,1,6,1,1,0,1,1
E,5,3,60,39572,62,48,1.9,78,378,44,746,74,64,1,187,142,10,34,18,40,11409,1,9,1,1,1,1,0,1,1
F,6,5,24,27391,59,30,2,64,183,0,6266,58,58,1,1,0,0,14,21,17,5792,1,7,1,0,0,1,1,1,1
G,7,5,22,2048,56,100,2.3,60,159,0,8353,93,73,1,1,1,0,11,17,40,4780,0,9,1,0,0,0,0,1,1
H,8,5,13,43885,56,78,2.8,55,122,5,2499,49,35,1,79,79,15,8,22,14,18375,0,21,1,0,0,0,0,0,0
I,9,5,1,1719003,55,85,3.9,0,0,0,0,38,34,0,1,1,0,6,8,40,2565952,0,21,1,0,0,0,0,0,0
J,10,5,26,156,52,46,5.3,46,219,40,12392,93,74,1,186,173,4,5,22,35,675,1,21,1,3,1,1,0,1,1
K,91,5,27,55342,48,90,5.5,48,162,0,0,71,61,1,0,0,0,2,3,1,135491,0,21,1,0,0,0,0,1,1
L,92,5,26,26913,46,67,7.2,57,154,0,456,66,51,1,0,0,0,2,16,40,103378,0,8,1,0,0,0,0,1,1
M,93,5,22,2461642,33,97,0.8,55,156,0,0,20,23,0,0,0,0,2,0,40,1104145,0,14,1,0,0,0,0,0,1
N,94,5,31,115316,29,84,2,37,200,31,1790,64,60,1,100,88,7,1,0,40,224547,0,9,1,0,0,1,0,1,1
O,95,5,19,45810,28,74,1.1,76,137,59,1436,75,58,1,112,92,23,0,0,14,39716,1,21,1,0,0,1,0,1,1
P,96,5,23,4278,27,79,1.6,63,143,0,1796,93,75,1,255,245,3,0,25,14,1651,1,21,1,0,0,0,0,1,1
Q,97,5,15,29748,24,35,4.4,31,92,4,2113,77,63,1,359,164,116,0,9,14,40894,1,21,1,4,1,1,0,1,1
R,98,5,20,3530,8,41,3.8,66,138,58,1399,92,74,1,212,163,39,116,2,14,1863,1,21,1,9,1,1,0,0,1
S,99,5,24,1194,7,99,1.7,126,152,14,781,94,78,1,94,74,11,75,0,40,1246,1,15,1,0,0,1,0,1,1
T,100,5,24,915817,74,96,3.3,68,144,55,561,59,45,1,159,139,5,10,0,35,218970,1,21,1,6,1,1,0,1,1
A,1,1,44,548487,85,87,1.2,62,274,53,1532,50,47,1,1,1,21,171,0,14,447492,1,21,1,3,1,1,1,1,1
B,2,3,27,3530,64,57,1.5,57,168,49,1772,92,74,1,188,148,29,116,2,14,1863,1,21,1,6,1,1,0,1,1
C,3,3,26,41723,41,45,2,72,189,57,1933,74,59,1,101,77,2,109,35,14,19653,0,21,1,0,0,1,0,0,1
D,4,3,23,22872,38,39,2,88,151,57,6278,55,53,1,347,290,97,109,63,14,33244,1,21,1,7,1,1,0,1,1
E,5,3,20,54988,33,89,2.2,100,134,80,1413,70,52,1,106,91,2,45,0,14,82857,1,21,1,7,1,1,0,1,1
F,6,5,20,3530,30,40,2.2,66,138,58,1399,92,74,1,212,163,39,31,2,14,1863,1,21,1,9,1,1,0,0,1
G,7,5,18,10922,30,15,2.5,64,111,58,1409,84,66,1,126,84,10,23,0,14,7296,1,21,1,6,1,1,0,0,1
H,8,5,27,355,28,44,2.6,38,169,0,9,93,77,1,6,1,0,21,0,14,54,1,18,0,0,0,1,1,1,1
I,9,5,15,278,27,31,3,60,87,46,1876,95,83,1,246,232,2,15,14,14,74,1,15,1,5,1,1,1,0,1
J,10,5,9,278,20,44,3.6,95,68,81,2010,95,83,1,268,236,3,11,4,14,74,1,15,1,5,1,1,0,1,1
K,91,5,30,681,18,55,4,69,177,44,945,93,69,1,255,227,6,10,0,14,2035,1,21,1,0,0,1,0,1,1
L,92,5,14,117669,16,59,4.1,88,82,66,2719,62,54,1,171,156,2,4,0,14,66815,0,21,1,0,0,1,0,0,1
M,93,5,50,22141,11,73,4.8,97,298,98,1849,66,49,1,139,111,8,3,1,14,84289,1,21,1,11,1,1,0,1,1
N,94,5,1,8704,10,76,4.8,0,0,0,138,65,46,1,0,0,0,1,1,17,3112,0,7,1,0,0,0,0,0,0
O,95,5,22,550357,8,16,6,70,139,25,3400,30,32,1,404,379,11,1,0,14,939747,1,21,1,2,1,1,0,1,1
P,96,5,16,2192,7,60,2.4,93,120,37,1883,90,66,1,199,175,6,0,7,14,3872,1,21,1,1,1,1,0,1,1
Q,97,5,15,118079,7,65,2.6,47,119,0,1997,69,60,1,613,604,111,210,486,24,14621,0,15,1,0,0,0,0,1,1
R,98,5,36,4593,6,46,3.1,92,234,67,1853,88,66,1,621,572,24,22,0,14,7547,1,21,1,6,1,1,0,1,1
S,99,5,24,1813802,27,53,5.6,53,141,53,3341,28,29,1,114,80,5,130,0,35,1004147,1,21,1,7,1,1,0,1,1
T,100,5,31,95223,22,64,2.3,56,226,0,20924,63,51,1,424,181,26,451,0,14,71485,1,21,1,9,1,1,0,1,1
A,1,1,23,2203401,31,98,1.8,63,162,0,4,8,18,1,0,0,0,1267,0,14,2308664,0,13,1,0,0,0,0,1,1
B,2,5,28,166077,99,95,1.9,28,167,0,2586,43,49,0,142,136,34,86,4280,24,496818,0,19,1,0,0,0,0,1,0
C,3,3,24,3371,96,94,2,76,149,20,1132,93,77,1,78,60,8,63,263,24,596,1,15,1,0,0,1,0,0,1
D,4,3,14,488649,91,89,2,66,66,47,1002,26,34,1,120,93,5,40,0,14,1043565,1,14,1,6,1,1,0,1,1
E,5,3,21,342950,100,98,2.1,40,153,9,88,31,36,0,21,21,9,24,76,24,1392356,0,21,1,0,0,0,0,0,1
F,6,3,38,23640,74,49,2.3,7,268,48,1257,68,44,1,147,121,22,9,43,40,33193,1,21,1,1,1,1,0,0,1
G,7,5,25,145260,72,89,2.3,57,158,0,2253,43,51,1,0,0,0,5,36,41,271446,0,7,1,0,0,0,0,1,1
H,8,5,22,1974499,71,52,2.3,64,143,39,436,36,24,0,140,118,10,5,24,41,4199586,1,15,1,1,1,1,1,0,1
I,9,5,29,342950,66,92,2.5,40,162,9,88,31,36,0,21,21,9,433,12405,24,1392356,0,15,1,0,0,0,0,0,1
J,10,5,9,342950,60,99,4.7,40,57,9,88,31,36,0,21,21,9,1,408,24,1392356,0,15,1,0,0,0,0,0,1
K,91,5,62,675674,42,37,7.9,84,404,35,2710,33,37,1,212,190,10,0,0,40,2387328,1,21,1,8,1,1,0,0,1
L,92,5,21,3927853,25,50,8.4,104,147,39,2315,20,26,1,145,115,5,0,87,40,4315939,1,21,1,8,1,0,0,0,0
M,93,5,26,177,24,92,1.4,11,159,11,1651,95,85,1,182,118,53,3,358,35,1364,1,21,1,4,1,1,0,1,1
N,94,5,73,3458,17,76,1.4,83,535,54,1556,91,70,1,211,127,19,18,0,14,2237,1,15,1,1,1,1,0,1,1
O,95,5,19,3280167,16,83,2.4,59,114,42,664,12,33,1,97,96,14,0,3,41,8208288,1,21,1,2,1,1,0,1,1
P,96,5,41,449,16,36,3.6,50,242,40,1318,95,82,1,53,36,0,7,0,14,462,1,21,1,5,1,1,0,1,1
Q,97,5,26,3667677,9,95,2.9,58,154,4,458,30,27,1,94,69,11,4260,140,41,9341559,1,21,1,5,1,0,0,0,0
R,98,5,23,10295,8,99,0.7,68,149,80,14196,76,55,1,536,349,134,1883,426,14,5119,1,21,1,10,1,1,1,1,1
S,99,5,23,6625,33,93,1,72,150,0,12,57,47,1,1,1,0,8,131,14,7001,1,21,1,0,0,1,1,1,1
T,100,5,23,83668,40,91,1,58,152,58,2458,63,54,1,162,153,3,30,64,14,83605,0,2,1,4,1,1,1,1,1
